AAWt,AAMt,Sstruct,SaccW,ShbondsW,SaccM,ShbondsM,yDDG,Result,Positiontype,ProteinPropens,Positionaccept,MOSST,Functionalrelevancefunction,Clinical
4,20,2,0.0,2,0.0,1,0.6,4,1,0.0,1.0,-1.1,0.5,1
4,18,2,0.0,2,0.0,2,-1.3,5,1,0.0,1.0,-1.1,0.5,2
4,16,2,0.0,2,0.0,2,0.0,2,1,0.0,1.0,-1.3,0.5,2
4,5,2,0.0,2,0.0,2,2.5,3,1,0.0,1.0,-0.3,0.5,2
4,2,2,0.0,2,0.0,2,0.7,2,1,0.0,1.0,-0.7,0.5,1
4,1,2,0.0,2,0.0,2,-0.2,2,1,0.0,1.0,-0.8,0.5,1
4,10,2,0.0,2,0.0,2,3.9,3,1,0.0,1.0,-1.1,0.5,2
4,18,2,0.0,2,0.0,2,-1.3,5,1,0.0,1.0,-1.1,0.5,2
19,12,3,62.0,1,37.2,2,-0.7,1,4,0.3,0.67,-0.4,0.35,1
19,20,3,62.0,1,61.8,1,0.6,4,4,0.3,0.67,0.6,0.35,2
15,7,1,97.4,2,89.5,2,-1.8,5,2,0.3,0.77,0.0,0.0,1
2,12,3,50.8,2,23.9,2,-1.8,5,3,1.0,0.63,-0.3,0.25,1
2,11,3,50.8,2,62.7,2,0.3,2,3,1.0,0.63,-0.2,0.25,1
