AAWt,AAMt,Sstruct,SaccW,ShbondsW,SaccM,ShbondsM,yDDG,Result,Positiontype,ProteinPropens,Positionaccept,MOSST,Functionalrelevancefunction,Clinical
8,10,1,52.6,1,74.5,3,0.3,4,1,0.0,1.0,-1.1,0.8,2
8,16,1,52.6,1,81.8,1,-1.5,2,1,0.0,1.0,-1.3,0.8,2
8,10,1,40.3,1,36.1,3,0.6,4,2,0.6,0.87,0.3,0.6,2
8,13,1,40.3,1,20.5,3,0.3,4,2,0.6,0.87,-0.1,0.6,1
8,16,1,40.3,1,46.6,2,-2.2,3,2,0.6,0.87,-0.6,0.6,1
8,15,1,40.3,1,60.9,3,-2.8,3,2,0.6,0.87,-0.6,0.6,2
8,7,1,40.3,1,39.7,3,0.2,4,2,0.6,0.87,0.0,0.6,1
9,12,1,76.9,1,43.2,3,-1.9,2,1,0.0,1.0,-1.0,0.3,2
9,19,2,23.5,1,34.7,3,-1.1,2,1,0.0,1.0,-0.8,0.6,2
9,12,2,23.5,1,23.6,3,-0.8,1,1,0.0,1.0,-1.0,0.6,1
9,3,2,23.5,1,38.4,3,-1.6,2,1,0.0,1.0,-0.9,0.6,1
