AAWt,AAMt,Sstruct,SaccW,ShbondsW,SaccM,ShbondsM,yDDG,Result,Positiontype,ProteinPropens,Positionaccept,MOSST,Functionalrelevancefunction,Clinical
20,16,2,67.5,1,32.5,2,-0.3,4,2,0.7,0.87,0.1,0.25,1
12,1,2,25.4,3,36.1,3,-1.0,2,1,0.0,1.0,-0.5,0.0,1
12,9,2,25.4,3,38.2,3,0.8,6,1,0.0,1.0,-1.3,0.0,2
3,19,1,65.7,2,85.6,2,0.3,4,3,0.4,0.14,-0.1,0.15,2
18,19,1,65.1,1,64.1,1,-0.4,4,3,0.1,0.8,0.0,0.5,2
9,3,1,9.8,3,17.2,2,-3.4,3,1,0.0,1.0,-0.9,0.1,1
9,19,1,9.8,3,20.3,3,-3.2,3,1,0.0,1.0,-0.8,0.1,1
19,14,1,47.8,2,67.9,1,1.6,5,3,0.2,0.92,-0.8,0.35,1
17,18,1,62.5,1,76.0,2,-0.8,1,3,0.7,0.59,0.4,0.25,2
17,15,1,62.5,1,104.4,3,-3.6,3,3,0.7,0.59,-0.2,0.25,2
7,8,2,84.5,3,84.5,3,0.3,4,2,0.9,0.25,0.2,0.15,2
