AAWt,AAMt,Sstruct,SaccW,ShbondsW,SaccM,ShbondsM,yDDG,Result,Positiontype,ProteinPropens,Positionaccept,MOSST,Functionalrelevancefunction,Clinical
4,5,5,50.3,1,35.0,3,0.1,5,1,0.0,1.0,-1.0,0.1,2
4,18,5,50.3,1,55.0,2,-1.6,3,1,0.0,1.0,-1.1,0.1,1
4,2,5,50.3,1,72.2,3,-2.4,4,1,0.0,1.0,-0.7,0.1,1
2,1,1,64.7,3,68.4,1,-0.3,5,4,0.7,0.53,0.2,0.1,2
17,7,3,27.7,2,34.7,3,0.4,5,1,0.0,1.0,-1.3,0.1,2
9,13,5,20.4,3,47.5,3,0.3,5,2,0.6,0.84,0.0,0.1,1
13,10,1,6.8,3,6.3,3,-0.7,2,1,0.3,0.97,-0.3,0.2,2
13,8,1,6.8,3,7.9,3,-1.5,3,1,0.3,0.97,-0.5,0.2,2
13,5,1,6.8,3,6.0,3,-2.2,4,1,0.3,0.97,-0.4,0.2,1
13,1,1,6.8,3,15.1,3,-4.9,4,1,0.3,0.97,-0.9,0.2,1
13,6,1,6.8,3,8.6,1,0.5,5,1,0.3,0.97,-0.6,0.2,1
13,9,1,6.8,3,7.8,3,-1.1,3,1,0.3,0.97,-0.7,0.2,2
12,19,5,0.0,3,0.1,3,-1.5,3,2,-0.1,0.64,-0.5,0.1,2
16,17,2,99.4,1,98.6,1,-0.5,5,4,-0.1,0.71,-0.1,0.2,1
3,20,1,82.8,1,74.3,1,-0.7,2,4,0.8,0.64,-0.2,0.1,1
12,7,5,24.3,3,14.2,3,1.5,1,3,0.0,0.41,0.7,0.0,2
10,2,4,29.8,3,33.5,3,-2.1,4,4,0.0,0.81,-0.1,0.2,1
10,8,4,29.8,3,30.4,3,-0.2,5,4,0.0,0.81,0.3,0.2,1
