AAWt,AAMt,Sstruct,SaccW,ShbondsW,SaccM,ShbondsM,yDDG,Result,Positiontype,ProteinPropens,Positionaccept,MOSST,Functionalrelevancefunction,Clinical
8,10,3,59.5,2,67.4,2,0.0,4,2,0.9,0.56,0.4,0.1,2
8,9,3,59.5,2,54.4,2,1.0,7,2,0.9,0.56,0.3,0.1,1
8,16,2,0.0,2,0.0,2,-5.1,3,1,0.3,0.96,-1.0,0.1,2
8,9,2,0.0,2,0.0,2,-0.8,1,1,0.3,0.96,0.0,0.1,1
9,12,2,15.5,2,12.6,2,-3.5,3,2,0.3,0.17,-0.1,0.1,2
12,7,2,0.5,2,0.2,2,1.5,5,1,0.0,1.0,-1.3,0.0,1
12,1,2,0.5,2,0.7,2,-0.2,4,1,0.0,1.0,-0.8,0.0,1
12,20,2,0.5,2,1.5,2,1.4,5,1,0.0,1.0,-1.1,0.0,1
12,19,2,0.5,2,1.2,2,-0.4,4,1,0.0,1.0,-0.8,0.0,1
12,9,2,0.5,2,4.0,2,3.0,6,1,0.0,1.0,-1.0,0.0,1
9,20,2,0.1,2,0.1,2,-3.2,3,3,0.5,0.9,-0.8,0.1,1
9,12,2,0.1,2,4.9,2,-4.0,3,3,0.5,0.9,-0.7,0.1,1
9,19,2,0.1,2,0.3,2,-3.1,3,3,0.5,0.9,-0.7,0.1,2
4,5,3,16.3,2,43.3,2,1.6,5,3,0.8,0.74,-0.3,0.65,2
4,10,3,16.3,2,30.7,2,1.0,7,3,0.8,0.74,-0.4,0.65,2
16,4,1,83.7,2,88.2,1,-0.3,4,2,0.7,0.47,0.3,0.25,2
16,5,1,83.7,2,89.9,2,-1.0,1,2,0.7,0.47,-0.1,0.25,2
15,8,3,0.0,2,5.5,2,-1.5,2,1,0.0,1.0,-0.6,0.15,2
15,16,3,0.0,2,3.7,2,-2.0,2,1,0.0,1.0,-1.3,0.15,1
15,19,3,0.0,2,3.2,2,-0.9,1,1,0.0,1.0,-0.8,0.15,2
15,6,3,0.0,2,4.9,2,1.6,5,1,0.0,1.0,-1.3,0.15,1
15,1,3,0.0,2,4.1,2,-2.5,3,1,0.0,1.0,-0.8,0.15,1
12,19,2,19.6,2,26.2,2,3.3,6,3,-0.1,0.6,-0.5,0.15,1
3,20,2,44.8,1,47.1,2,-1.4,2,2,0.8,0.28,0.6,0.15,2
3,12,2,44.8,1,29.5,2,-2.4,3,2,0.8,0.28,-0.1,0.15,1
7,17,3,18.8,2,43.1,2,-0.4,4,1,0.0,1.0,-0.9,0.1,2
7,10,3,18.8,2,25.9,2,0.7,7,1,0.0,1.0,-0.7,0.1,1
16,4,3,6.0,2,4.7,2,0.5,7,3,0.5,0.61,-0.3,0.6,2
16,15,3,6.0,2,15.4,2,-1.4,2,3,0.5,0.61,-0.3,0.6,1
16,5,3,6.0,2,5.7,2,2.9,6,3,0.5,0.61,-0.4,0.6,1
9,5,3,0.0,2,0.2,2,-1.7,2,3,0.7,0.78,0.2,0.1,2
9,20,3,0.0,2,0.0,2,-2.4,3,3,0.7,0.78,-0.5,0.1,2
9,12,3,0.0,2,2.2,2,-6.5,3,3,0.7,0.78,-0.5,0.1,1
9,19,3,0.0,2,0.3,2,-3.6,3,3,0.7,0.78,-0.6,0.1,1
9,13,3,0.0,2,0.2,2,0.0,4,3,0.7,0.78,0.0,0.1,1
8,13,2,0.2,2,0.3,2,-1.1,2,3,0.6,0.89,-0.1,0.1,1
8,9,2,0.2,2,0.3,2,-0.8,1,3,0.6,0.89,0.3,0.1,1
8,16,2,0.2,2,0.5,2,-5.1,3,3,0.6,0.89,-0.6,0.1,1
8,15,2,0.2,2,4.6,2,-5.1,3,3,0.6,0.89,-0.5,0.1,2
