AAWt,AAMt,Sstruct,SaccW,ShbondsW,SaccM,ShbondsM,yDDG,Result,Positiontype,ProteinPropens,Positionaccept,MOSST,Functionalrelevancefunction,Clinical
18,4,1,63.3,1,105.0,1,-1.6,2,1,0.0,1.0,-1.2,1.0,2
18,19,1,63.3,1,97.8,1,-0.4,4,1,0.0,1.0,-0.3,1.0,2
18,17,1,63.3,1,98.4,1,0.7,6,1,0.0,1.0,-0.5,1.0,2
17,18,1,37.1,3,41.4,2,-0.6,1,2,0.6,0.85,0.3,0.6,2
9,12,1,11.9,3,17.4,3,-5.3,3,1,0.0,1.0,-1.0,0.1,1
9,20,1,11.9,3,15.2,3,-2.3,3,1,0.0,1.0,-1.2,0.1,2
19,15,1,12.8,3,33.3,3,-3.5,3,1,0.0,1.0,-1.2,0.6,1
19,14,1,12.8,3,39.6,1,2.7,5,1,0.0,1.0,-0.5,0.6,1
19,3,1,12.8,3,17.4,2,-1.2,2,1,0.0,1.0,-0.8,0.6,1
17,18,1,57.7,3,87.8,1,-1.2,2,2,0.7,0.79,0.1,0.35,1
16,8,1,35.7,2,35.4,3,2.2,5,2,0.4,0.76,-0.4,0.25,2
