AAWt,AAMt,Sstruct,SaccW,ShbondsW,SaccM,ShbondsM,yDDG,Result,Positiontype,ProteinPropens,Positionaccept,MOSST,Functionalrelevancefunction,Clinical
15,1,1,25.3,1,32.4,3,-2.5,3,1,0.3,0.97,0.0,0.25,1
15,19,1,25.3,1,56.7,2,1.2,1,1,0.3,0.97,-0.7,0.25,1
15,6,1,25.3,1,40.3,1,0.1,5,1,0.3,0.97,-1.0,0.25,1
15,7,1,25.3,1,15.7,3,-1.4,4,1,0.3,0.97,-0.7,0.25,2
9,8,2,13.7,1,10.8,3,0.2,5,3,0.1,0.25,0.2,0.35,1
9,20,2,0.0,1,16.9,3,-3.2,3,2,0.9,0.47,-0.2,0.35,2
9,12,2,0.0,1,4.9,3,-4.0,3,2,0.9,0.47,-0.3,0.35,1
9,8,2,0.0,1,0.9,3,-0.4,5,2,0.9,0.47,0.6,0.35,2
9,19,2,0.0,1,9.3,1,-3.0,3,2,0.9,0.47,-0.4,0.35,1
13,9,2,0.0,1,0.0,3,-0.6,2,1,0.0,1.0,-0.5,0.25,1
13,1,2,0.0,1,2.3,3,-5.0,3,1,0.0,1.0,-0.9,0.25,1
13,1,2,57.5,1,70.8,3,-1.3,4,4,0.9,0.31,0.1,0.35,2
7,12,2,0.0,1,0.0,3,-3.4,3,1,0.3,0.96,-1.0,0.35,2
7,16,2,0.0,1,0.0,3,-2.9,3,1,0.3,0.96,-0.8,0.35,2
7,2,2,0.0,1,0.0,3,-2.2,3,1,0.3,0.96,-0.4,0.35,1
10,13,2,0.0,1,2.4,3,-0.8,2,1,0.0,1.0,-0.5,0.35,2
10,4,2,0.0,1,0.0,3,-5.3,3,1,0.0,1.0,-1.1,0.35,2
10,2,2,0.0,1,1.8,3,-4.3,3,1,0.0,1.0,-0.8,0.35,2
10,1,2,0.0,1,5.2,3,-5.0,3,1,0.0,1.0,-0.9,0.35,2
10,11,2,0.0,1,0.0,3,-1.0,2,1,0.0,1.0,-1.1,0.35,2
